dish_name,restaurant,price,cuisine,description,food_type,latitude,longitude,rating
Grilled Salmon,Flower Child - Inwood,18.21,American,Lemon herb butter,entree,32.8506489,-96.8197378,4.66
Tomato Basil Soup,Flower Child - Inwood,6.74,American,Comfort soup,soup,32.8506489,-96.8197378,4.94
House Salad,Flower Child - Inwood,14.02,American,"Greens, vinaigrette",salad,32.8506489,-96.8197378,4.09
Patty Melt,S&D Diner (Legacy),10.57,Diner,Griddled burger on rye,sandwich,32.7977533,-96.8015204,3.61
Pie Slice,S&D Diner (Legacy),7.4,Diner,Daily selection,dessert,32.7977533,-96.8015204,4.31
Chicken Fried Steak,S&D Diner (Legacy),22.88,Diner,Cream gravy,entree,32.7977533,-96.8015204,3.99
Naan,Kalachandji's,5.07,Indian / Vegetarian,Tandoor flatbread,side,32.79405,-96.7499028,4.12
Thali Plate,Kalachandji's,41.03,Indian / Vegetarian,Assorted vegetarian curries,entree,32.79405,-96.7499028,4.19
Mango Lassi,Kalachandji's,4.06,Indian / Vegetarian,Yogurt drink,beverage,32.79405,-96.7499028,4.1
Chana Masala,Kalachandji's,18.82,Indian / Vegetarian,Chickpea curry,entree,32.79405,-96.7499028,4.06
Garlic Naan,Roti Grill,7.64,Indian,Garlic butter naan,side,32.8207957,-96.7874429,4.18
Gulab Jamun,Roti Grill,9.07,Indian,Milk-sweet dumplings,dessert,32.8207957,-96.7874429,4.79
Hyderabadi Biryani,Roti Grill,26.02,Indian,Aromatic rice with spices,entree,32.8207957,-96.7874429,3.85
Chicken Tikka Masala,Roti Grill,30.99,Indian,Tomato‑cream sauce,entree,32.8207957,-96.7874429,3.57
Chicken Tikka Masala,Hyderabadi Biryani & BBQ,29.52,Indian,Tomato‑cream sauce,entree,32.8706702,-96.7660629,4.79
Garlic Naan,Hyderabadi Biryani & BBQ,8.84,Indian,Garlic butter naan,side,32.8706702,-96.7660629,4.52
Hyderabadi Biryani,Hyderabadi Biryani & BBQ,33.86,Indian,Aromatic rice with spices,entree,32.8706702,-96.7660629,4.38
Gulab Jamun,Hyderabadi Biryani & BBQ,11.64,Indian,Milk-sweet dumplings,dessert,32.8706702,-96.7660629,4.04
Garlic Naan,Shivas Bar and Grill,7.74,Indian,Garlic butter naan,side,32.7827945,-96.8044163,4.28
Hyderabadi Biryani,Shivas Bar and Grill,33.25,Indian,Aromatic rice with spices,entree,32.7827945,-96.8044163,3.81
Chicken Tikka Masala,Shivas Bar and Grill,19.24,Indian,Tomato‑cream sauce,entree,32.7827945,-96.8044163,4.9
Gulab Jamun,Shivas Bar and Grill,11.4,Indian,Milk-sweet dumplings,dessert,32.7827945,-96.8044163,4.27
Greek Salad,Cava - Dallas,13.99,Mediterranean,"Feta, olives",salad,32.7897856,-96.8040695,3.85
Falafel Bowl,Cava - Dallas,20.99,Mediterranean,"Herb falafel, grains",entree,32.7897856,-96.8040695,3.99
Hummus & Pita,Cava - Dallas,11.32,Mediterranean,Chickpea dip,appetizer,32.7897856,-96.8040695,3.53
Chicken Pita,Cava - Dallas,13.03,Mediterranean,"Grilled chicken, tzatziki",sandwich,32.7897856,-96.8040695,4.55
Baklava,Ziziki's,9.29,Greek,Honey‑nut pastry,dessert,32.8221685,-96.7907997,4.27
Spanakopita,Ziziki's,6.0,Greek,Spinach & feta pie,appetizer,32.8221685,-96.7907997,3.66
Gyro Plate,Ziziki's,23.46,Greek,"Sliced lamb-beef, tzatziki",entree,32.8221685,-96.7907997,3.73
Tabbouleh,Shawarma Press,12.98,Middle Eastern,"Parsley, bulgur salad",salad,32.7873337,-96.7985642,4.91
Beef Kofta,Shawarma Press,33.57,Middle Eastern,Spiced ground beef skewers,entree,32.7873337,-96.7985642,4.62
Chicken Shawarma Plate,Shawarma Press,29.29,Middle Eastern,Spit-roasted chicken,entree,32.7873337,-96.7985642,4.08
Tomato Basil Soup,Afrah Mediterranean,8.61,Lebanese,Comfort soup,soup,32.9480486,-96.72805819999999,4.16
Grilled Salmon,Afrah Mediterranean,32.46,Lebanese,Lemon herb butter,entree,32.9480486,-96.72805819999999,4.78
House Salad,Afrah Mediterranean,12.02,Lebanese,"Greens, vinaigrette",salad,32.9480486,-96.72805819999999,4.47
Falafel Bowl,Mandalay Canal Bistro (Legacy),27.71,Mediterranean,"Herb falafel, grains",entree,32.8673248,-96.94065979999999,3.86
Chicken Pita,Mandalay Canal Bistro (Legacy),14.75,Mediterranean,"Grilled chicken, tzatziki",sandwich,32.8673248,-96.94065979999999,4.52
Greek Salad,Mandalay Canal Bistro (Legacy),11.62,Mediterranean,"Feta, olives",salad,32.8673248,-96.94065979999999,4.14
Spanakopita,Little Greek,13.12,Greek,Spinach & feta pie,appetizer,32.8783394,-96.77134509999999,4.97
Gyro Plate,Little Greek,35.1,Greek,"Sliced lamb-beef, tzatziki",entree,32.8783394,-96.77134509999999,4.12
Baklava,Little Greek,9.62,Greek,Honey‑nut pastry,dessert,32.8783394,-96.77134509999999,4.46
Chicken Pita,Cafe Izmir,18.0,Mediterranean,"Grilled chicken, tzatziki",sandwich,32.8320278,-96.7704693,3.92
Greek Salad,Cafe Izmir,15.05,Mediterranean,"Feta, olives",salad,32.8320278,-96.7704693,4.71
Hummus & Pita,Cafe Izmir,8.16,Mediterranean,Chickpea dip,appetizer,32.8320278,-96.7704693,3.57
Margherita,Cane Rosso - Deep Ellum,24.3,Neapolitan Pizza,"San Marzano, mozzarella, basil",pizza,32.7826353,-96.78540570000001,3.7
Honey Bastard,Cane Rosso - Deep Ellum,17.44,Neapolitan Pizza,"Hot soppressata, bacon, honey",pizza,32.7826353,-96.78540570000001,3.65
Caccio e Pepe Pie,Cane Rosso - Deep Ellum,16.7,Neapolitan Pizza,"Pecorino, black pepper",pizza,32.7826353,-96.78540570000001,4.28
Garlic Knots,Zoli's NY Pizza,10.06,Pizza,"Herb butter, parmesan",appetizer,32.9513061,-96.8384614,4.38
Pepperoni,Zoli's NY Pizza,13.7,Pizza,"Mozzarella, pepperoni",pizza,32.9513061,-96.8384614,4.46
New York Cheese,Zoli's NY Pizza,22.0,Pizza,"Tomato sauce, mozzarella",pizza,32.9513061,-96.8384614,4.64
Meat Lovers,Zoli's NY Pizza,25.47,Pizza,Assorted meats,pizza,32.9513061,-96.8384614,4.54
New York Cheese,Eno's Pizza Tavern - Bishop Arts,21.58,Pizza,"Tomato sauce, mozzarella",pizza,32.7484173,-96.8284655,4.01
Garlic Knots,Eno's Pizza Tavern - Bishop Arts,9.91,Pizza,"Herb butter, parmesan",appetizer,32.7484173,-96.8284655,3.68
Pepperoni,Eno's Pizza Tavern - Bishop Arts,13.79,Pizza,"Mozzarella, pepperoni",pizza,32.7484173,-96.8284655,4.2
Meat Lovers,Eno's Pizza Tavern - Bishop Arts,17.81,Pizza,Assorted meats,pizza,32.7484173,-96.8284655,4.94
Cacio e Pepe,Lucia,15.2,Italian,"Pecorino, black pepper",pasta,32.7470252,-96.8285753,4.45
Spaghetti Carbonara,Lucia,20.8,Italian,"Guanciale, egg, pecorino",pasta,32.7470252,-96.8285753,3.81
Burrata,Lucia,6.55,Italian,Creamy burrata & tomatoes,appetizer,32.7470252,-96.8285753,4.7
Tiramisu,Lucia,10.56,Italian,"Mascarpone, espresso, cocoa",dessert,32.7470252,-96.8285753,4.94
Cacio e Pepe,Terilli's,17.71,Italian,"Pecorino, black pepper",pasta,32.8230388,-96.77040889999999,3.75
Burrata,Terilli's,12.98,Italian,Creamy burrata & tomatoes,appetizer,32.8230388,-96.77040889999999,4.3
Tiramisu,Terilli's,8.54,Italian,"Mascarpone, espresso, cocoa",dessert,32.8230388,-96.77040889999999,4.83
Spaghetti Carbonara,Terilli's,16.97,Italian,"Guanciale, egg, pecorino",pasta,32.8230388,-96.77040889999999,3.83
Spaghetti Carbonara,The Charles,25.75,Italian,"Guanciale, egg, pecorino",pasta,32.7929042,-96.8219707,4.37
Tiramisu,The Charles,9.73,Italian,"Mascarpone, espresso, cocoa",dessert,32.7929042,-96.8219707,5.0
Burrata,The Charles,7.91,Italian,Creamy burrata & tomatoes,appetizer,32.7929042,-96.8219707,3.63
Tomato Basil Soup,Monarch Dallas,8.26,Italian Steakhouse,Comfort soup,soup,32.7814389,-96.8006905,3.68
Grilled Salmon,Monarch Dallas,22.66,Italian Steakhouse,Lemon herb butter,entree,32.7814389,-96.8006905,4.22
House Salad,Monarch Dallas,12.32,Italian Steakhouse,"Greens, vinaigrette",salad,32.7814389,-96.8006905,3.84
Cacio e Pepe,Sassetta,22.1,Italian,"Pecorino, black pepper",pasta,32.7806516,-96.7985697,4.8
Tiramisu,Sassetta,11.57,Italian,"Mascarpone, espresso, cocoa",dessert,32.7806516,-96.7985697,4.72
Spaghetti Carbonara,Sassetta,22.06,Italian,"Guanciale, egg, pecorino",pasta,32.7806516,-96.7985697,3.8
White Pie,Homeslice - Dallas,17.56,NY Pizza,"Ricotta, garlic",pizza,30.31592119999999,-97.71849789999999,4.52
Sicilian Square,Homeslice - Dallas,18.85,NY Pizza,"Thick crust, tomato",pizza,30.31592119999999,-97.71849789999999,4.98
Garlic Knots,ZaLat Pizza - Dallas,11.62,Pizza,"Herb butter, parmesan",appetizer,32.8123676,-96.78396769999999,3.7
Meat Lovers,ZaLat Pizza - Dallas,16.33,Pizza,Assorted meats,pizza,32.8123676,-96.78396769999999,3.8
New York Cheese,ZaLat Pizza - Dallas,16.02,Pizza,"Tomato sauce, mozzarella",pizza,32.8123676,-96.78396769999999,3.64
Pepperoni,ZaLat Pizza - Dallas,13.93,Pizza,"Mozzarella, pepperoni",pizza,32.8123676,-96.78396769999999,3.8
Burrata,Carbone Vino,7.73,Italian,Creamy burrata & tomatoes,appetizer,32.795333,-96.8203202,3.87
Spaghetti Carbonara,Carbone Vino,20.78,Italian,"Guanciale, egg, pecorino",pasta,32.795333,-96.8203202,4.87
Tiramisu,Carbone Vino,10.35,Italian,"Mascarpone, espresso, cocoa",dessert,32.795333,-96.8203202,4.17
Cacio e Pepe,Carbone Vino,27.67,Italian,"Pecorino, black pepper",pasta,32.795333,-96.8203202,4.01
Cacio e Pepe,Eataly Dallas - La Pizza & La Pasta,26.22,Italian,"Pecorino, black pepper",pasta,32.8681616,-96.7755237,4.27
Burrata,Eataly Dallas - La Pizza & La Pasta,10.59,Italian,Creamy burrata & tomatoes,appetizer,32.8681616,-96.7755237,4.96
Tiramisu,Eataly Dallas - La Pizza & La Pasta,8.82,Italian,"Mascarpone, espresso, cocoa",dessert,32.8681616,-96.7755237,4.71
Spaghetti Carbonara,Eataly Dallas - La Pizza & La Pasta,20.17,Italian,"Guanciale, egg, pecorino",pasta,32.8681616,-96.7755237,4.89
Oysters on the Half Shell,TJ's Seafood Market & Grill,31.36,Seafood,Fresh shucked,seafood_plate,32.8962069,-96.80318749999999,3.72
Blackened Redfish,TJ's Seafood Market & Grill,29.09,Seafood,Cajun-spiced fillet,seafood_plate,32.8962069,-96.80318749999999,4.97
Clam Chowder,TJ's Seafood Market & Grill,11.52,Seafood,Creamy New England style,soup,32.8962069,-96.80318749999999,4.65
Key Lime Pie,TJ's Seafood Market & Grill,6.62,Seafood,"Graham crust, lime custard",dessert,32.8962069,-96.80318749999999,3.85
Gulf Shrimp Cocktail,TJ's Seafood Market & Grill,13.03,Seafood,"Poached shrimp, cocktail sauce",appetizer,32.8962069,-96.80318749999999,4.42
Gulf Shrimp Cocktail,Truluck's - Uptown,8.25,Seafood,"Poached shrimp, cocktail sauce",appetizer,32.7948208,-96.80292740000002,4.77
Key Lime Pie,Truluck's - Uptown,7.26,Seafood,"Graham crust, lime custard",dessert,32.7948208,-96.80292740000002,3.77
Oysters on the Half Shell,Truluck's - Uptown,24.86,Seafood,Fresh shucked,seafood_plate,32.7948208,-96.80292740000002,3.81
Clam Chowder,Truluck's - Uptown,9.81,Seafood,Creamy New England style,soup,32.7948208,-96.80292740000002,4.36
Blackened Redfish,Truluck's - Uptown,35.06,Seafood,Cajun-spiced fillet,seafood_plate,32.7948208,-96.80292740000002,4.66
Oysters on the Half Shell,S&D Oyster Company,18.88,Seafood,Fresh shucked,seafood_plate,32.7977533,-96.8015204,3.63
Gulf Shrimp Cocktail,S&D Oyster Company,8.67,Seafood,"Poached shrimp, cocktail sauce",appetizer,32.7977533,-96.8015204,3.93
Clam Chowder,S&D Oyster Company,5.92,Seafood,Creamy New England style,soup,32.7977533,-96.8015204,4.53
Blackened Redfish,S&D Oyster Company,37.6,Seafood,Cajun-spiced fillet,seafood_plate,32.7977533,-96.8015204,3.89
Key Lime Pie,S&D Oyster Company,6.97,Seafood,"Graham crust, lime custard",dessert,32.7977533,-96.8015204,4.92
Key Lime Pie,The Oceanaire - Dallas,6.45,Seafood,"Graham crust, lime custard",dessert,32.929788,-96.82022099999999,4.98
Clam Chowder,The Oceanaire - Dallas,11.18,Seafood,Creamy New England style,soup,32.929788,-96.82022099999999,3.57
Oysters on the Half Shell,The Oceanaire - Dallas,36.08,Seafood,Fresh shucked,seafood_plate,32.929788,-96.82022099999999,4.77
Gulf Shrimp Cocktail,The Oceanaire - Dallas,10.36,Seafood,"Poached shrimp, cocktail sauce",appetizer,32.929788,-96.82022099999999,4.94
Blackened Redfish,The Oceanaire - Dallas,34.69,Seafood,Cajun-spiced fillet,seafood_plate,32.929788,-96.82022099999999,4.88
Crawfish Étouffée,Pappadeaux - Dallas,24.39,Cajun & Seafood,"Rich roux, rice",seafood_plate,32.9991724,-96.8303742,3.71
Fried Catfish,Pappadeaux - Dallas,28.8,Cajun & Seafood,Cornmeal crust,seafood_plate,32.9991724,-96.8303742,4.91
Dirty Rice,Pappadeaux - Dallas,4.83,Cajun & Seafood,Cajun-style rice,side,32.9991724,-96.8303742,4.64
Banana Pudding,Cattleack Barbeque,6.56,Barbecue,Classic vanilla wafer pudding,dessert,32.9346701,-96.8362592,3.81
Sweet Tea,Cattleack Barbeque,5.41,Barbecue,House-brewed sweet tea,beverage,32.9346701,-96.8362592,4.32
Banana Pudding,Terry Black's Barbecue,7.67,Barbecue,Classic vanilla wafer pudding,dessert,32.7848915,-96.7799081,3.78
Sweet Tea,Hurtado Barbecue - Dallas,5.41,Barbecue,House-brewed sweet tea,beverage,32.7779085,-96.7905198,4.47
Banana Pudding,Hurtado Barbecue - Dallas,10.84,Barbecue,Classic vanilla wafer pudding,dessert,32.7779085,-96.7905198,4.91
Banana Pudding,Slow Bone,7.76,Barbecue,Classic vanilla wafer pudding,dessert,32.796284,-96.83419130000001,3.76
Tres Leches Cake,Mi Cocina - Highland Park,10.64,Mexican,Soaked sponge cake,dessert,32.8357735,-96.8060517,4.24
Horchata,El Fenix Downtown,5.68,Mexican,Cinnamon rice drink,beverage,32.787446,-96.8048645,4.95
Tres Leches Cake,El Fenix Downtown,9.81,Mexican,Soaked sponge cake,dessert,32.787446,-96.8048645,4.41
Tres Leches Cake,Javier's Gourmet Mexicano,9.34,Mexican,Soaked sponge cake,dessert,32.8280791,-96.78602149999999,4.46
Horchata,Javier's Gourmet Mexicano,5.74,Mexican,Cinnamon rice drink,beverage,32.8280791,-96.78602149999999,4.56
Tres Leches Cake,Meso Maya,10.47,Mexican,Soaked sponge cake,dessert,32.787751,-96.8047241,3.75
Horchata,Meso Maya,5.99,Mexican,Cinnamon rice drink,beverage,32.787751,-96.8047241,3.73
Churros,Velvet Taco - Henderson,10.75,Tacos,Cinnamon-sugar dough sticks,dessert,32.783816,-96.78676379999999,4.65
Churros,La Ventana - Downtown,9.17,Tacos,Cinnamon-sugar dough sticks,dessert,32.7778412,-96.78977069999999,4.01
Tiramisu,Lucia,10.56,Italian,"Mascarpone, espresso, cocoa",dessert,32.7470252,-96.8285753,4.94
Tiramisu,Terilli's,8.54,Italian,"Mascarpone, espresso, cocoa",dessert,32.8230388,-96.77040889999999,4.83
Matcha Ice Cream,Uchi Dallas,9.9,Japanese,Green tea ice cream,dessert,32.7968652,-96.8065259,4.64
Matcha Ice Cream,Tei‑An,6.04,Japanese,Green tea ice cream,dessert,32.792057,-96.79550470000001,3.95
Matcha Ice Cream,Oishii,7.14,Japanese,Green tea ice cream,dessert,32.8103797,-96.8198431,3.62
Matcha Ice Cream,Nobu Dallas,10.8,Japanese,Green tea ice cream,dessert,32.7941945,-96.80399349999999,4.84
Milkshake,Rodeo Goat - Dallas,6.34,Burgers,Thick vanilla shake,beverage,32.7972031,-96.8239998,3.97
Milkshake,Keller's Drive-In,4.6,Burgers,Thick vanilla shake,beverage,32.8689598,-96.88208829999999,3.8
Milkshake,Off-Site Kitchen (Legacy),6.13,Burgers,Thick vanilla shake,beverage,32.7787503,-96.8292367,4.83
Milkshake,Hopdoddy - Dallas,5.17,Burgers,Thick vanilla shake,beverage,32.8042444,-96.79973009999999,4.57
Crème Brûlée,Al Biernat's - Oak Lawn,8.52,Steakhouse,Vanilla custard,dessert,32.8203061,-96.8026735,4.75
Crème Brûlée,Nick & Sam's,11.57,Steakhouse,Vanilla custard,dessert,32.7984933,-96.8074407,4.5
Key Lime Pie,TJ's Seafood Market & Grill,6.62,Seafood,"Graham crust, lime custard",dessert,32.8962069,-96.80318749999999,3.85
Key Lime Pie,Truluck's - Uptown,7.26,Seafood,"Graham crust, lime custard",dessert,32.7948208,-96.80292740000002,3.77
Key Lime Pie,S&D Oyster Company,6.97,Seafood,"Graham crust, lime custard",dessert,32.7977533,-96.8015204,4.92
Key Lime Pie,The Oceanaire - Dallas,6.45,Seafood,"Graham crust, lime custard",dessert,32.929788,-96.82022099999999,4.98
Cà Phê Sữa Đá,Mai's Vietnamese Restaurant,6.13,Vietnamese,Iced coffee w/ milk,beverage,32.8033743,-96.7737088,4.94
Mango Lassi,Kalachandji's,4.06,Indian / Vegetarian,Yogurt drink,beverage,32.79405,-96.7499028,4.1
Gulab Jamun,Roti Grill,9.07,Indian,Milk-sweet dumplings,dessert,32.8207957,-96.7874429,4.79
Gulab Jamun,Hyderabadi Biryani & BBQ,11.64,Indian,Milk-sweet dumplings,dessert,32.8706702,-96.7660629,4.04
Gulab Jamun,Shivas Bar and Grill,11.4,Indian,Milk-sweet dumplings,dessert,32.7827945,-96.8044163,4.27
Baklava,Ziziki's,9.29,Greek,Honey‑nut pastry,dessert,32.8221685,-96.7907997,4.27
Blueberry Muffin,Bread Winners Cafe & Bakery,6.15,Bakery & Cafe,Baked muffin,dessert,32.8045201,-96.7994817,3.54
Latte,Bread Winners Cafe & Bakery,4.9,Bakery & Cafe,Espresso with milk,beverage,32.8045201,-96.7994817,4.71
Pie Slice,Maple Leaf Diner,10.67,Diner,Daily selection,dessert,32.923259,-96.80538,3.91
Mimosa,Oddfellows,6.21,Brunch,Sparkling wine & OJ,beverage,32.7488496,-96.8273722,3.55
Croissant,La La Land Kind Cafe,11.38,Cafe,Buttery pastry,dessert,32.8153271,-96.7711763,3.99
Cappuccino,La La Land Kind Cafe,4.9,Cafe,Espresso & foam,beverage,32.8153271,-96.7711763,3.81
Pecan Pie,Bubba's Cooks Country,6.46,Southern,Texas pecan slice,dessert,32.847426,-96.7871514,4.71
Pecan Pie,Norma's Cafe,9.26,Southern,Texas pecan slice,dessert,32.7497698,-96.8412828,4.33
Pecan Pie,Yardbird Table & Bar,10.62,Southern,Texas pecan slice,dessert,32.7905545,-96.8011859,3.9
Matcha Ice Cream,Sushi Robata,7.67,Japanese,Green tea ice cream,dessert,32.9992369,-96.82630170000002,3.53
Tiramisu,The Charles,9.73,Italian,"Mascarpone, espresso, cocoa",dessert,32.7929042,-96.8219707,5.0
Tiramisu,Sassetta,11.57,Italian,"Mascarpone, espresso, cocoa",dessert,32.7806516,-96.7985697,4.72
Crème Caramel,Beverley's Bistro & Bar,7.46,Bistro,Custard dessert,dessert,32.8165587,-96.79336579999999,4.81
Churros,Tacodeli - Dallas,7.68,Tacos,Cinnamon-sugar dough sticks,dessert,32.7693063,-96.8355318,4.39
Churros,Torchy's Tacos - Dallas,7.45,Tacos,Cinnamon-sugar dough sticks,dessert,32.9100751,-96.805914,4.49
Churros,El Come Taco,9.98,Tacos,Cinnamon-sugar dough sticks,dessert,32.8123093,-96.7838025,4.67
Tiramisu,Carbone Vino,10.35,Italian,"Mascarpone, espresso, cocoa",dessert,32.795333,-96.8203202,4.17
Horchata,Jose,4.1,Mexican,Cinnamon rice drink,beverage,32.8514433,-96.8256007,4.56
Tres Leches Cake,Jose,11.85,Mexican,Soaked sponge cake,dessert,32.8514433,-96.8256007,4.3
Tiramisu,Eataly Dallas - La Pizza & La Pasta,8.82,Italian,"Mascarpone, espresso, cocoa",dessert,32.8681616,-96.7755237,4.71
Matcha Ice Cream,Kazy's Gourmet Shop,7.78,Japanese,Green tea ice cream,dessert,32.9134015,-96.7400991,4.26
Pie Slice,S&D Diner (Legacy),7.4,Diner,Daily selection,dessert,32.7977533,-96.8015204,4.31
Baklava,Little Greek,9.62,Greek,Honey‑nut pastry,dessert,32.8783394,-96.77134509999999,4.46
Sweet Tea,Lockhart Smokehouse - Bishop Arts,6.25,Barbecue,House-brewed sweet tea,beverage,32.7493058,-96.8285861,3.98
Banana Pudding,Lockhart Smokehouse - Bishop Arts,9.3,Barbecue,Classic vanilla wafer pudding,dessert,32.7493058,-96.8285861,3.74
Stracciatella Gelato,Amorino Gelato - Dallas,6.33,Gelato,Chocolate shard gelato,dessert,32.8646009,-96.8031582,4.17
Pistachio Gelato,Amorino Gelato - Dallas,9.11,Gelato,Classic pistachio,dessert,32.8646009,-96.8031582,4.24
Salted Peanut Butter w/ Chocolate Flecks,Jeni's Splendid Ice Creams - Dallas,7.22,Ice Cream,Signature scoop,dessert,32.7882988,-96.8092004,4.97
Brown Butter Almond Brittle,Jeni's Splendid Ice Creams - Dallas,9.3,Ice Cream,Signature scoop,dessert,32.7882988,-96.8092004,4.09
Fried Chicken Plate,Bubba's Cooks Country,32.3,Southern,Buttermilk fried chicken,entree,32.847426,-96.7871514,3.84
Collard Greens,Bubba's Cooks Country,5.65,Southern,Slow-cooked greens,side,32.847426,-96.7871514,3.94
Collard Greens,Norma's Cafe,4.39,Southern,Slow-cooked greens,side,32.7497698,-96.8412828,4.31
Fried Chicken Plate,Norma's Cafe,26.6,Southern,Buttermilk fried chicken,entree,32.7497698,-96.8412828,3.71
Fried Chicken Plate,Yardbird Table & Bar,26.13,Southern,Buttermilk fried chicken,entree,32.7905545,-96.8011859,4.11
Collard Greens,Yardbird Table & Bar,9.68,Southern,Slow-cooked greens,side,32.7905545,-96.8011859,3.6
Comeback Slaw,Hattie B’s Hot Chicken (Legacy pickup),4.5,Hot Chicken,Tangy slaw,side,32.8124257,-96.80672770000001,4.95
Nashville Hot Sandwich,Hattie B’s Hot Chicken (Legacy pickup),13.43,Hot Chicken,Hot seasoned chicken,sandwich,32.8124257,-96.80672770000001,4.23
BBQ Jackfruit Sandwich,Wayward Vegan,15.18,Vegan,Pulled jackfruit bun,sandwich,32.7948399,-96.82943829999999,4.19
Vegan Nachos,Wayward Vegan,13.27,Vegan,"Cashew queso, black beans",appetizer,32.7948399,-96.82943829999999,4.18
Kale Caesar,Wayward Vegan,16.44,Vegan,Vegan Caesar,salad,32.7948399,-96.82943829999999,4.97
Vegan Nachos,Spiral Diner & Bakery,10.76,Vegan,"Cashew queso, black beans",appetizer,32.7308297,-97.340166,4.5
Kale Caesar,Spiral Diner & Bakery,16.42,Vegan,Vegan Caesar,salad,32.7308297,-97.340166,4.23
BBQ Jackfruit Sandwich,Spiral Diner & Bakery,17.37,Vegan,Pulled jackfruit bun,sandwich,32.7308297,-97.340166,4.09
Grilled Salmon,Si Tapas,39.82,Spanish,Lemon herb butter,entree,32.796033,-96.7966742,4.87
House Salad,Si Tapas,10.63,Spanish,"Greens, vinaigrette",salad,32.796033,-96.7966742,4.77
Tomato Basil Soup,Si Tapas,9.1,Spanish,Comfort soup,soup,32.796033,-96.7966742,4.35
Grilled Salmon,Cafe Madrid,26.62,Spanish,Lemon herb butter,entree,32.8222725,-96.7912783,4.05
House Salad,Cafe Madrid,11.89,Spanish,"Greens, vinaigrette",salad,32.8222725,-96.7912783,4.57
Tomato Basil Soup,Cafe Madrid,5.73,Spanish,Comfort soup,soup,32.8222725,-96.7912783,3.93
